Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
Meen Kuzhambum Mann Paanaiyum,2016,136 min,5.4,98,"comedy, fantasy",tamil
Nandini,1969,,6.4,0,drama,marathi
Begunah,1970,,6.4,0,action,hindi
Ishara,1943,,6.4,0,unknown,hindi
Vakratunda Mahakaaya,2013,92 min,6.9,75,comedy,marathi
Idhey Naa Savaal,1984,,6.2,8,unknown,telugu
Intiguttu,1958,140 min,7.2,5,"drama, family",telugu
Naag Mani,1957,,6.5,6,"adventure, fantasy",hindi
Ghanchakkar,1990,,7.3,15,comedy,marathi
Uladhaal,2008,130 min,6.0,49,"drama, thriller",marathi
Barkha,1953,,6.4,0,unknown,urdu
Doctor X,1972,,6.4,0,thriller,hindi
Arshinagar,2015,134 min,4.5,198,"drama, musical, romance",bengali
Susral Chalo,1983,,6.4,0,unknown,punjabi
Na Ghar Ke Na Ghaat Ke,2010,,6.1,269,"comedy, drama",hindi
Therottam,2019,117 min,6.4,0,"action, thriller",malayalam
Shaadi Aur Barbadi,1991,,6.4,0,comedy,hindi
SHUDRA: The Untouchables,2011,116 min,7.8,23,"drama, family, history",hindi
Mazaa Mazaa,2005,99 min,2.8,57,romance,hindi
Har Din Pyar Ke Din,1990,,6.4,0,thriller,hindi
Chor Na Bhai Ghanti Chor,2016,136 min,6.4,0,drama,gujarati
Ek Gadi Baaki Anadi,1988,135 min,7.7,15,comedy,marathi
Army,1996,153 min,4.3,1591,"action, drama",hindi
Rebecca,1963,,6.4,0,unknown,malayalam
Mera Suhag,1987,138 min,6.4,0,"drama, family",hindi
Kamsale Kaisale,2012,90 min,6.4,0,drama,kannada
Bottu Katuka,1979,136 min,6.4,0,drama,telugu
Atmatyag,2012,,6.4,0,drama,bengali
Manju,1983,,7.6,5,drama,malayalam
Thakur Jarnail Singh,1966,,5.0,9,action,hindi
Premleela,2015,,6.4,0,"action, romance",bhojpuri
Marunnattil Oru Malayali,1971,,5.7,7,unknown,malayalam
Munnudi,2000,108 min,6.6,12,family,kannada
Halli Mestru,1992,162 min,6.9,56,"comedy, drama",kannada
Licence,1976,,6.4,0,drama,punjabi
Kitty Party,2019,134 min,3.8,5,"action, comedy",punjabi
Ajnabi Lage Zindagi,2019,,6.4,0,drama,urdu
Sangarshana,1983,,7.1,25,"action, drama, family",telugu
Cool Boys Hot Girls,2012,125 min,6.4,0,comedy,telugu
Jeethu,2013,,6.4,0,drama,kannada
Once Upon a Time in Mumbaai Dobara,2013,160 min,4.6,6698,"action, crime, drama",hindi
Akaash Ganga,1990,,6.4,0,action,hindi
